,Region,"об""єм",зависліречовини,сухийзалишок,сульфати,хлориди,year,бск(біологічнеспоживаннякисню),нітрати
0,Азовськеморе,292.1,0.8,91.1,34.5,14.8,2013,,
1,р.СіверськийДонець,1066.0,8.3,659.8,203.0,98.0,2013,,
2,р.Лугань,203.0,2.1,193.2,67.1,27.7,2013,,
3,р.КазеннийТорець,210.1,1.3,123.8,41.6,18.6,2013,,
4,р.Оскол,9.5,0.0,1.8,0.3,0.3,2013,,
5,р.Уди,290.4,2.5,162.3,43.4,22.1,2013,,
6,р.Кальміус,583.5,3.8,405.2,154.0,66.2,2013,,
7,р.Міус,368.8,3.4,302.7,117.9,31.6,2013,,
8,р.Кринка,251.2,1.9,173.8,62.4,19.8,2013,,
9,р.Молочна,14.1,0.1,7.2,1.3,1.6,2013,,
10,р.Салгір,62.4,0.4,17.4,2.4,3.1,2013,,
11,р.ЗахіднийБуг,220.0,2.6,91.6,14.6,17.4,2013,,
12,Чорнеморе,341.6,2.8,58.0,14.0,30.1,2013,,
13,р.Дніпро,1517.0,16.7,758.2,164.4,302.5,2013,,
14,р.Інгулець,159.5,1.1,94.8,15.0,162.4,2013,,
15,р.Самара,104.5,1.9,242.8,65.9,29.4,2013,,
16,р.Ворскла,41.1,0.3,21.2,2.6,5.2,2013,,
17,р.Псьол,71.0,0.5,33.5,5.1,5.0,2013,,
18,р.Сула,15.6,0.1,5.3,1.8,1.8,2013,,
19,р.Рось,39.8,0.1,8.0,1.6,1.5,2013,,
20,р.Десна,75.2,0.4,17.1,2.7,2.7,2013,,
21,р.Прип'ять,154.5,0.8,25.5,5.0,5.0,2013,,
22,р.Дністер,292.6,2.0,67.0,11.7,11.7,2013,,
23,р.Дунай,153.1,1.1,29.2,4.1,5.0,2013,,
24,р.Прут,34.8,0.4,15.4,2.0,2.4,2013,,
25,р.Тиса,32.1,0.5,12.5,1.5,1.6,2013,,
26,р.ПівденнийБуг,194.0,0.8,37.9,8.3,8.3,2013,,
27,р.Інгул,33.3,0.2,14.2,3.6,3.6,2013,,
28,р.Синюха,25.7,0.1,5.8,0.8,0.8,2013,,
29,Азовськеморе,,0.7,94.8,37.6,12.8,2014,0.5,
30,р.Берда,,0.0,0.0,0.0,0.0,2014,0.0,
31,р.СіверськийДонець,,4.3,307.9,90.5,46.6,2014,3.4,
32,р.Лугань,,0.0,4.0,2.0,0.3,2014,0.0,
33,р.КазеннийТорець,,0.7,84.3,27.0,14.4,2014,0.4,
34,р.Оскол,,0.0,1.8,0.4,0.4,2014,0.0,
35,р.Уди,,2.4,150.4,41.2,20.7,2014,2.4,
36,р.Кальміус,,1.0,176.3,79.9,24.6,2014,0.5,
37,р.Кальчик,,0.3,86.1,42.2,11.0,2014,0.1,
38,р.Міус,,0.4,44.7,14.0,5.1,2014,0.3,
39,р.Кринка,,0.4,44.7,14.0,5.1,2014,0.3,
40,р.Молочна,,0.1,10.6,2.9,1.9,2014,0.1,
41,р.ЗахіднийБуг,,2.6,68.0,13.9,19.3,2014,3.3,
42,Чорнеморе,,0.3,19.0,3.7,4.6,2014,0.3,
43,басейнр.Дніпро,,11.7,671.5,143.9,290.0,2014,11.3,
44,руслор.Дніпро,,5.0,168.7,37.7,36.6,2014,5.5,
45,р.Інгулець,,1.2,79.8,16.4,152.9,2014,0.2,
46,р.Самара,,1.6,210.2,48.0,59.5,2014,0.9,
47,руслор.Самара,,0.8,121.5,16.3,43.7,2014,0.6,
48,р.Ворскла,,0.2,19.4,2.6,4.9,2014,0.3,
49,р.Псьол,,0.4,28.0,4.5,4.3,2014,0.4,
50,р.Сула,,0.1,5.0,0.4,1.7,2014,0.1,
51,р.Рось,,0.2,8.0,1.2,1.4,2014,0.3,
52,р.Десна,,0.4,17.7,1.5,2.6,2014,0.5,
53,р.Прип'ять,,0.8,26.6,4.0,5.1,2014,1.1,
54,р.Дністер,,1.9,64.2,7.6,11.4,2014,2.1,
55,р.Дунай,,0.8,26.3,3.7,4.3,2014,1.0,
56,р.Прут,,0.4,13.9,2.0,2.2,2014,0.5,
57,р.Тиса,,0.5,12.3,1.5,1.6,2014,0.5,
58,р.ПівденнийБуг,,0.7,37.2,6.9,8.4,2014,0.8,
59,р.Інгул,,0.2,12.7,3.3,3.0,2014,0.2,
60,р.Синюха,,0.1,5.8,1.0,1.0,2014,0.1,
61,Азовськеморе,,0.6,91.2,36.4,11.8,2015,0.3,2.4
62,р.Берда,,0.0,0.0,0.0,0.0,2015,0.0,0.0
63,р.СіверськийДонець,,4.4,319.8,90.6,45.0,2015,2.7,8.4
64,р.Лугань,,0.0,5.3,2.5,0.6,2015,0.0,0.0
65,р.КазеннийТорець,,0.7,91.3,24.0,14.3,2015,0.4,1.0
66,р.Оскол,,0.0,1.6,0.3,0.3,2015,0.0,0.0
67,р.Уди,,2.4,153.4,38.9,21.0,2015,1.9,6.6
68,р.Кальміус,,0.8,132.4,59.4,18.5,2015,0.4,1.9
69,р.Кальчик,,0.2,60.2,29.7,7.5,2015,0.1,0.5
70,р.Міус,,1.1,60.7,21.3,5.2,2015,0.3,0.5
71,р.Кринка,,0.3,30.4,10.8,2.7,2015,0.2,0.5
72,р.Молочна,,0.1,8.9,2.1,1.7,2015,0.0,0.3
73,р.ЗахіднийБуг,,2.4,62.5,10.3,18.7,2015,2.5,1.9
74,Чорнеморе,,0.4,26.8,6.6,6.0,2015,0.4,0.7
75,басейнр.Дніпро,,12.9,580.3,133.7,344.5,2015,7.9,23.7
76,руслор.Дніпро,,6.7,138.1,31.8,35.2,2015,3.3,13.3
77,р.Інгулець,,1.0,64.0,18.1,214.2,2015,0.2,0.7
78,р.Самара,,1.6,213.0,53.9,59.6,2015,0.7,1.0
79,руслор.Самара,,0.7,106.9,16.3,40.6,2015,0.4,0.6
80,р.Ворскла,,0.2,18.9,2.3,4.9,2015,0.3,0.6
81,р.Псьол,,0.3,22.1,3.3,3.6,2015,0.2,0.5
82,р.Сула,,0.1,4.5,0.3,1.6,2015,0.1,0.1
83,р.Рось,,0.1,8.4,0.7,1.6,2015,0.2,0.3
84,р.Десна,,0.3,15.8,1.4,2.4,2015,0.3,0.7
85,р.Прип'ять,,0.8,21.9,3.0,4.8,2015,1.1,2.1
86,р.Дністер,,1.5,52.9,6.7,10.2,2015,1.1,2.1
87,р.Дунай,,0.8,25.4,3.7,4.3,2015,0.8,0.8
88,р.Прут,,0.3,12.6,1.8,2.1,2015,0.3,0.5
89,р.Тиса,,0.5,12.5,1.6,1.9,2015,0.5,0.1
90,р.ПівденнийБуг,,0.7,36.4,6.4,8.4,2015,0.6,1.3
91,р.Інгул,,0.2,11.6,3.0,2.8,2015,0.1,0.5
92,р.Синюха,,0.1,5.6,1.0,0.9,2015,0.1,0.2
93,Азовськеморе,,0.1,72.0,26.6,11.1,2016,0.3,2.3
94,р.Берда,,0.0,0.0,0.0,0.0,2016,0.0,−
95,р.СіверськийДонець,,3.5,234.0,62.0,34.1,2016,2.5,8.5
96,р.Лугань,,0.0,3.0,1.2,0.4,2016,0.0,0.0
97,р.КазеннийТорець,,0.5,41.0,12.1,6.7,2016,0.4,1.3
98,р.Оскол,,0.0,1.8,0.3,0.5,2016,0.0,0.0
99,р.Уди,,2.4,156.6,40.1,21.6,2016,1.8,6.4
100,р.Кальміус,,0.6,101.5,43.2,14.8,2016,0.3,1.5
101,р.Кальчик,,0.2,53.3,23.7,7.8,2016,0.1,0.4
102,р.Міус,,0.2,14.6,4.7,2.5,2016,0.2,0.5
103,р.Кринка,,0.2,14.5,4.7,2.5,2016,0.2,0.5
104,р.Молочна,,0.1,6.6,1.2,1.5,2016,0.0,0.3
105,р.ЗахіднийБуг,,2.9,98.7,14.5,12.6,2016,2.4,1.8
106,Чорнеморе,,0.5,34.4,8.5,7.5,2016,0.5,1.5
107,басейнр.Дніпро,,10.6,447.5,94.7,301.5,2016,7.5,23.3
108,руслор.Дніпро,,5.9,150.9,34.4,36.9,2016,3.5,14.5
109,р.Інгулець,,0.9,64.6,17.0,205.3,2016,0.2,0.5
110,р.Самара,,0.7,67.8,13.2,22.9,2016,0.5,1.3
111,руслор.Самара,,0.5,58.1,10.7,21.1,2016,0.3,1.0
112,р.Ворскла,,0.2,19.3,2.3,5.0,2016,0.3,0.5
113,р.Псьол,,0.3,23.7,4.1,4.1,2016,0.3,0.3
114,р.Сула,,0.1,4.7,0.3,1.6,2016,0.1,0.1
115,р.Рось,,0.1,7.1,0.7,1.5,2016,0.2,0.2
116,р.Десна,,0.3,15.4,1.3,2.3,2016,0.3,0.6
117,р.Прип'ять,,0.7,20.3,2.9,4.3,2016,0.8,1.3
118,р.Дністер,,1.3,52.1,6.2,1.0,2016,1.1,2.2
119,р.Дунай,,0.9,23.0,1.6,4.0,2016,0.8,0.9
120,р.Прут,,0.3,9.9,1.6,1.8,2016,0.3,0.6
121,р.Тиса,,0.5,12.9,1.7,1.9,2016,0.5,0.2
122,р.ПівденнийБуг,,0.6,28.2,4.1,6.5,2016,0.6,1.1
123,р.Інгул,,0.2,5.2,1.3,1.3,2016,0.1,0.4
124,р.Синюха,,0.1,3.0,0.4,0.6,2016,0.1,0.1
125,Азовськеморе,,0.6,89.5,34.7,12.5,2017,0.3,2.4
126,р.Берда,,−,0.0,0.0,0.0,2017,−,−
127,р.СіверськийДонець,,3.6,226.5,61.9,34.9,2017,2.7,8.4
128,р.Лугань,,0.0,2.1,1.1,0.2,2017,0.0,0.0
129,р.КазеннийТорець,,0.6,42.3,12.6,8.1,2017,0.4,1.4
130,р.Оскол,,0.0,1.7,0.3,0.6,2017,0.0,0.0
131,р.Уди,,2.5,151.6,40.2,21.3,2017,1.8,6.4
132,р.Кальміус,,0.5,97.9,42.1,14.3,2017,0.2,1.5
133,р.Кальчик,,0.2,58.2,26.2,8.5,2017,0.1,0.4
134,р.Міус,,0.2,9.9,2.9,1.5,2017,0.2,0.4
135,р.Кринка,,0.2,9.8,2.8,1.5,2017,0.1,0.4
136,р.Молочна,,0.1,6.4,1.2,1.4,2017,0.0,0.2
137,р.ЗахіднийБуг,,1.9,52.3,8.7,19.3,2017,1.9,1.4
138,Чорнеморе,,0.3,17.0,4.1,4.1,2017,0.3,1.0
139,басейнр.Дніпро,,10.1,426.4,90.9,276.4,2017,7.5,24.7
140,руслор.Дніпро,,5.5,147.5,28.6,38.2,2017,3.4,15.5
141,р.Інгулець,,0.4,37.0,15.2,178.6,2017,0.2,0.6
142,р.Самара,,0.8,74.5,14.7,22.2,2017,0.5,1.1
143,руслор.Самара,,0.6,66.2,12.3,20.7,2017,0.4,0.8
144,р.Ворскла,,0.2,18.9,2.4,4.9,2017,0.2,0.5
145,р.Псьол,,0.3,20.1,4.0,4.1,2017,0.2,0.5
146,р.Сула,,0.1,4.6,0.3,1.6,2017,0.1,0.1
147,р.Рось,,0.1,7.5,0.6,1.4,2017,0.2,0.2
148,р.Десна,,0.4,14.8,1.6,1.9,2017,0.3,0.7
149,р.Прип'ять,,0.8,22.7,3.2,5.0,2017,0.7,1.6
150,р.Дністер,,1.3,63.8,7.2,12.6,2017,1.2,2.7
151,р.Дунай,,0.8,23.1,3.7,3.9,2017,0.8,0.8
152,р.Прут,,0.3,11.0,1.7,1.8,2017,0.3,0.5
153,р.Тиса,,0.4,12.0,1.7,1.7,2017,0.4,0.2
154,р.ПівденнийБуг,,0.5,29.8,3.8,6.6,2017,0.6,1.3
155,р.Інгул,,0.1,5.2,1.3,1.5,2017,0.1,0.4
156,р.Синюха,,0.0,3.1,0.4,0.6,2017,0.1,0.1
157,Азовськеморе,,0.6,80.9,31.1,10.9,2018,0.3,2.4
158,р.Берда,,−,0.0,0.0,0.0,2018,−,−
159,р.СіверськийДонець,,3.6,222.7,62.3,33.8,2018,2.6,8.0
160,р.Лугань,,0.0,2.1,1.0,0.2,2018,0.0,0.0
161,р.КазеннийТорець,,0.6,37.5,12.7,6.7,2018,0.4,1.3
162,р.Оскол,,0.0,1.8,0.4,0.6,2018,0.0,0.0
163,р.Уди,,2.5,151.9,40.3,21.7,2018,1.8,6.1
164,р.Кальміус,,0.5,106.8,47.1,15.5,2018,0.2,1.5
165,р.Кальчик,,0.3,66.0,30.0,9.6,2018,0.1,0.5
166,р.Міус,,0.2,9.8,3.1,1.4,2018,0.2,0.4
167,р.Кринка,,0.2,9.7,3.1,1.4,2018,0.1,0.4
168,р.Молочна,,0.1,6.7,1.2,1.5,2018,0.0,0.3
169,р.ЗахіднийБуг,,1.8,58.2,7.8,11.2,2018,1.8,1.2
170,Чорнеморе,,0.3,13.8,3.7,3.9,2018,0.2,0.9
171,басейнр.Дніпро,,11.5,433.4,90.5,209.5,2018,8.1,25.5
172,руслор.Дніпро,,7.1,141.8,30.0,40.3,2018,3.6,15.6
173,р.Інгулець,,0.2,18.8,9.3,97.0,2018,0.1,0.5
174,р.Самара,,0.8,97.0,17.5,34.1,2018,0.5,1.1
175,руслор.Самара,,0.6,86.8,14.9,32.4,2018,0.4,0.8
176,р.Ворскла,,0.2,18.1,2.3,4.8,2018,0.2,0.6
177,р.Псьол,,0.3,29.0,5.5,4.2,2018,0.2,0.6
178,р.Сула,,0.1,4.0,0.3,1.6,2018,0.1,0.1
179,р.Рось,,0.1,6.5,0.5,1.3,2018,0.2,0.2
180,р.Десна,,0.3,15.0,1.3,2.5,2018,0.3,0.7
181,р.Прип'ять,,0.9,20.5,3.1,4.6,2018,0.9,1.7
182,р.Дністер,,1.3,60.4,7.3,14.6,2018,1.2,2.4
183,р.Дунай,,0.9,28.8,4.5,4.4,2018,1.7,0.9
184,р.Прут,,0.3,14.5,1.8,2.0,2018,1.2,0.6
185,р.Тиса,,0.5,12.0,1.9,1.6,2018,0.5,0.2
186,р.ПівденнийБуг,,0.5,30.0,4.3,6.9,2018,0.6,1.1
187,р.Інгул,,0.1,5.0,1.3,1.5,2018,0.1,0.4
188,р.Синюха,,0.1,3.0,0.4,0.6,2018,0.1,0.1
189,Азовськеморе,,0.5,60.6,21.2,9.1,2019,0.3,2.2
190,р.Берда,,–,0.0,0.0,0.0,2019,–,–
191,р.СіверськийДонець,,3.4,68.6,58.4,32.1,2019,2.5,7.7
192,р.Лугань,,0.0,2.2,1.1,0.2,2019,0.0,0.0
193,р.КазеннийТорець,,0.5,36.8,11.5,6.1,2019,0.4,1.3
194,р.Оскол,,0.0,1.7,0.3,0.6,2019,0.0,0.0
195,р.Уди,,2.4,1.4,38.0,20.3,2019,1.8,5.9
196,р.Кальміус,,0.6,118.5,54.4,17.2,2019,0.3,1.6
197,р.Кальчик,,0.3,73.0,34.4,10.7,2019,0.1,0.5
198,р.Міус,,0.2,9.4,2.9,1.3,2019,0.1,0.4
199,р.Кринка,,0.2,9.3,2.9,1.3,2019,0.1,0.4
200,р.Молочна,,0.1,6.5,1.2,1.5,2019,0.0,0.2
201,р.ЗахіднийБуг,,1.7,55.2,7.8,12.7,2019,1.9,1.3
202,Чорнеморе,,0.3,13.9,3.7,4.2,2019,0.3,0.9
203,басейнр.Дніпра,,10.8,354.4,82.3,189.9,2019,8.6,26.2
204,руслор.Дніпра,,6.3,101.2,28.8,39.5,2019,4.0,16.3
205,р.Інгулець,,0.2,9.8,8.4,82.4,2019,0.1,0.3
206,р.Самара,,0.8,85.6,16.7,30.3,2019,0.5,1.1
207,руслоСамари,,0.6,77.3,14.1,28.7,2019,0.4,0.8
208,р.Ворскла,,0.3,19.1,2.4,5.7,2019,0.3,0.7
209,р.Псьол,,0.4,34.6,3.0,4.3,2019,0.3,0.5
210,р.Сула,,0.1,3.3,0.3,1.4,2019,0.1,0.1
211,р.Рось,,0.1,6.2,0.5,1.4,2019,0.2,0.2
212,р.Десна,,0.3,14.5,1.3,2.5,2019,0.2,0.7
213,р.Прип'ять,,0.8,20.7,2.6,4.6,2019,1.0,1.6
214,р.Дністер,,1.2,62.0,7.1,14.4,2019,1.2,2.4
215,р.Дунай,,0.8,24.6,3.8,4.4,2019,1.0,0.9
216,р.Прут,,0.3,12.6,1.8,1.3,2019,0.3,0.7
217,р.Тиса,,0.5,11.8,1.7,2.6,2019,0.6,0.2
218,р.ПівденнийБуг,,0.6,36.8,8.5,6.2,2019,0.6,0.1
219,р.Інгул,,0.2,11.7,1.3,0.4,2019,0.2,0.0
220,р.Синюха,,0.2,2.9,4.6,0.6,2019,0.0,0.0
